country,total_capacity_mw,total_generation_gwh,total_emissions_tonnes,num_plants,carbon_intensity_gco2_kwh,renewable_capacity_mw,renewable_percentage,dominant_fuel
ITA,73095.06,220533.05,106162.5405,396,481.3906146947136,16299.11,22.298511007447015,Gas
SEN,696.16,2571.73,1236.56136,10,480.8286095352156,225.7,32.42070788324523,Oil
BFA,229.30599999999998,722.966624,341.0476656,7,471.73362404071366,82.9,36.15256469521077,Oil
JOR,4703.5,24121.36,11373.83204,33,471.5253219553126,567.5,12.065483150845116,Gas
KHM,1517.6,4868.03,2264.7777599999995,16,465.2349636300515,931.8,61.3995782814971,Hydro
IRL,7582.15,24405.39,11306.65217,59,463.28504359078056,1692.05,22.316229565492637,Gas
UZB,12640.0,55732.75,25612.30934,16,459.5558148485406,1240.0,9.81012658227848,Gas
AZE,5764.0,21753.1,9831.09406,14,451.93991017372235,974.0,16.897987508674532,Oil
IRN,61362.1,265886.16,119875.30171,107,450.85198007297566,11048.5,18.005413765174268,Gas
CZE,16871.7,73743.63,32993.47296,462,447.40776877948645,3015.7,17.874310235483083,Coal
EGY,34183.5,154409.92,68784.42691,62,445.466372303023,4106.5,12.013105738148521,Gas
OMN,6010.8,20482.98,9109.22928,12,444.72187543023523,1138.8,18.945897384707525,Gas
ARG,32913.079,136799.65,60700.339329999995,236,443.7170660158852,10727.09,32.59218014820188,Gas
BGR,9252.2,41866.55,18358.98572,43,438.5120273822419,2393.2,25.866280452216767,Coal
MEX,62365.9,330310.962,144200.26016,277,436.55911171364636,17604.5,28.227765493643158,Gas
MDA,2914.0,1765.03,754.86074,6,427.67586953196263,64.0,2.1962937542896364,Coal
PRT,14744.864,51916.472,21475.79999,469,413.66061988957955,8353.164,56.65134652988323,Wind
CHL,22475.648667,73928.51345,30464.333305,315,412.0782615979951,11260.57,50.10120137948852,Hydro
NIC,863.4,3029.314,1217.04248,16,401.75514324365184,276.0,31.966643502432245,Oil
BOL,1563.1200000000001,6795.42,2722.94618,26,400.7031471196777,509.7,32.60786120067557,Gas
USA,1204638.05,4119344.35683,1641530.9372816,9833,398.49325404415174,247993.35,20.58654464716601,Gas
JPN,215365.85,998572.01,395976.30744,522,396.5425662591925,33811.9,15.699749983574463,Gas
LAO,4986.86,21636.178,8376.3996,20,387.14784099113996,3108.86,62.34103223270756,Hydro
COG,625.9,2983.82,1135.21138,8,380.4557178382074,219.0,34.98961495446557,Gas
SLE,126.0,469.07400000000007,177.96408000000002,3,379.3944665447243,50.0,39.682539682539684,Oil
RUS,228220.05,981916.43,366670.94516,545,373.42378022944376,46548.44,20.39629734547863,Gas
ARM,3271.0,15523.96,5785.53464,8,372.684201711419,965.0,29.501681442983795,Gas
PAK,21455.0,100303.376,37269.553416,62,371.5682851592154,9174.0,42.75926357492426,Hydro
