country,Biomass_pct,Coal_pct,Cogeneration_pct,Gas_pct,Geothermal_pct,Hydro_pct,Nuclear_pct,Oil_pct,Other_pct,Petcoke_pct,Solar_pct,Storage_pct,Waste_pct,Wave and Tidal_pct,Wind_pct,total_capacity_mw,num_plants,renewable_ratio,fossil_ratio
FRA,0.7165333310327605,3.2319034297780957,0.0,4.526472859552147,0.004068130191329072,17.633789359246617,57.07134643968984,3.966878951011548,0.0,0.0,4.439159033270117,0.0,0.0,0.2169669435375505,8.192881522689992,110615.9289,2155,0.304868649889356,0.11725255240341792
GAB,0.0,0.0,0.0,32.519415411472444,0.0,64.00931044515565,0.0,3.471274143371903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.81,6,0.6400931044515565,0.35990689554844346
GBR,1.630070879290168,12.656027992518723,3.09401595197717,30.792251970769996,0.0,6.551269994284514,9.179119846883701,0.3833039056940446,0.0,0.0,8.92900270575174,0.9229554571317127,1.9408105386055061,0.039318499456263444,23.881852257636453,97155.28448,2751,0.3940144345712897,0.4383158386898276
GEO,0.0,0.0,0.0,32.62515007569034,0.0,67.37484992430966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3831.4,19,0.6737484992430965,0.3262515007569034
GHA,0.0,0.0,0.0,23.244781783681216,0.0,75.80645161290323,0.0,0.0,0.0,0.0,0.9487666034155597,0.0,0.0,0.0,0.0,2108.0,6,0.767552182163188,0.23244781783681215
GIN,0.0,0.0,0.0,0.0,0.0,81.95603620547784,0.0,18.04396379452216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.41999999999996,9,0.8195603620547784,0.1804396379452216
GMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4,2,0.0,1.0
GNB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.237,1,0.0,1.0
GNQ,0.0,0.0,0.0,20.26578073089701,0.0,79.734219269103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.5,3,0.7973421926910299,0.2026578073089701
GRC,0.0,34.075443509463696,0.0,35.508044738089794,0.0,23.88350905438086,0.0,3.417777216865127,0.0,0.0,1.4851299403423914,0.0,0.16372585470012585,0.0,1.4663696861580022,14658.650000000001,90,0.2683500868088125,0.7300126546441862
GTM,23.856767233200507,15.510558130709388,0.0,0.0,1.4583502751348565,27.31289474397549,0.0,26.65690818898918,0.0,0.0,3.1172914803068497,0.0,0.15993060638096013,0.0,1.9272993413027566,3689.1000000000004,76,0.3381583584071995,0.4216746631969857
GUF,0.7917656373713382,0.0,0.0,36.42121931908156,0.0,44.972288202692,0.0,15.83531274742676,0.0,0.0,1.979414093428345,0.0,0.0,0.0,0.0,252.6,6,0.46951702296120346,0.5225653206650832
GUY,22.01027146001467,0.0,0.0,0.0,0.0,0.0,0.0,77.98972853998532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.3,5,0.0,0.7798972853998533
HND,2.309607505300549,0.0,0.0,1.810732284155631,1.8014938541344288,23.796809970113678,0.0,36.42712957360026,0.0,0.0,27.920845131578343,0.0,0.11317076775972694,0.0,5.820210913357384,2164.87,40,0.5933935986918383,0.38237861857755895
HRV,0.0,10.077874484654146,0.0,17.767598106581158,0.0,49.555657352267524,0.0,22.598870056497177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274.5,24,0.49555657352267524,0.5044434264773249
HUN,0.0,18.980399637560204,0.0,46.97887357527779,0.0,0.0,29.993482442335505,2.7024019584465955,0.0,0.0,1.344842386379894,0.0,0.0,0.0,0.0,6290.700000000001,18,0.01344842386379894,0.6866167517128459
IDN,0.0,60.16850627811483,0.0,26.27615877757648,2.752740443365155,9.352737186024005,0.0,1.4498573149195373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48751.418,178,0.1210547762938916,0.8789452237061086
IND,0.31739840392698065,64.82968857720014,0.0,7.892568812031551,0.0,14.414147736944575,2.777702675755926,0.5317623878721629,0.0,0.0,8.082893329516597,0.0,0.0,0.0,1.1538380767520757,316088.546,1589,0.23650879143213246,0.7325401977710386
IRL,1.8068753585724364,12.067817175867003,0.0,48.69990701845782,0.0,5.341492848334575,0.0,15.109170881610096,0.0,0.0,0.0,0.0,0.0,0.0,16.97473671715806,7582.150000000001,59,0.22316229565492635,0.7587689507593492
IRN,0.0,0.0,0.0,61.93236541774157,0.0,17.69414671271029,1.6296704317485877,18.432550385335574,0.0,0.0,0.14830000928912146,0.0,0.0,0.0,0.16296704317485874,61362.1,107,0.1800541376517427,0.8036491580307714
